Title,Price,Stars,Reviews
Apple iPhone 13 (128GB) - Midnight,"₹50,499",4.5 out of 5 stars,"18,667"
Apple iPhone 14 (128 GB) - Midnight,"₹61,999",4.5 out of 5 stars,901
Apple iPhone 14 (128 GB) - Purple,"₹61,999",4.6 out of 5 stars,543
Apple iPhone 15 (128 GB) - Blue,"₹79,900",4.2 out of 5 stars,84
Apple iPhone 13 (128GB) - Pink,"₹50,499",4.5 out of 5 stars,"18,667"
Apple iPhone 14 (128 GB) - Midnight,"₹61,999",4.5 out of 5 stars,901
Apple iPhone 14 (128 GB) - Starlight,"₹61,999",4.5 out of 5 stars,659
Apple iPhone 12 (64GB) - Purple,"₹42,999",4.5 out of 5 stars,"1,236"
Apple iPhone 12 (64GB) - (Product) RED,"₹43,999",4.5 out of 5 stars,834
Apple iPhone 13 (128GB) - Midnight,"₹50,499",4.5 out of 5 stars,"18,667"
Apple iPhone 13 (128GB) - Blue,"₹50,499",4.5 out of 5 stars,"18,667"
Apple iPhone 13 (128GB) - Starlight,"₹50,499",4.5 out of 5 stars,"18,667"
Apple iPhone 13 (128GB) - Green,"₹50,499",4.5 out of 5 stars,"18,667"
Apple iPhone 15 Plus (128 GB) - Black,"₹89,900",4.4 out of 5 stars,59
Apple iPhone 14 (128 GB) - Blue,"₹61,999",4.4 out of 5 stars,"1,136"
Apple iPhone 15 Pro Max (256 GB) - Blue Titanium,"₹1,59,900",4.0 out of 5 stars,21
Apple iPhone 15 (256 GB) - Blue,"₹89,900",4.2 out of 5 stars,84
Apple iPhone 15 Plus (128 GB) - Blue,"₹89,900",4.4 out of 5 stars,59
